,plan_id,plan_label,distr,vote_circ,vote_sqre,total
597,5178546640,99,4,116,128,244
598,5178546640,99,5,127,121,248
599,5178546640,99,6,133,122,255
600,5178546896,100,1,113,133,246
601,5178546896,100,2,146,111,257
602,5178546896,100,3,124,120,244
603,5178546896,100,4,108,143,251
604,5178546896,100,5,143,119,262
605,5178546896,100,6,124,116,240
606,5178547024,101,1,123,127,250
607,5178547024,101,2,129,121,250
608,5178547024,101,3,141,109,250
609,5178547024,101,4,120,136,256
610,5178547024,101,5,125,132,257
611,5178547024,101,6,120,117,237
612,5178547152,102,1,140,121,261
613,5178547152,102,2,130,117,247
614,5178547152,102,3,131,113,244
615,5178547152,102,4,129,134,263
616,5178547152,102,5,119,126,245
617,5178547152,102,6,109,131,240
618,5178547280,103,1,141,117,258
619,5178547280,103,2,134,118,252
620,5178547280,103,3,115,130,245
621,5178547280,103,4,129,122,251
622,5178547280,103,5,123,128,251
623,5178547280,103,6,116,127,243
624,5178547408,104,1,133,114,247
625,5178547408,104,2,121,122,243
626,5178547408,104,3,121,140,261
627,5178547408,104,4,137,122,259
628,5178547408,104,5,122,126,248
629,5178547408,104,6,124,118,242
630,5178547536,105,1,130,131,261
631,5178547536,105,2,129,127,256
632,5178547536,105,3,127,114,241
633,5178547536,105,4,132,125,257
634,5178547536,105,5,124,123,247
635,5178547536,105,6,116,122,238
636,5178547664,106,1,126,137,263
637,5178547664,106,2,133,110,243
638,5178547664,106,3,136,118,254
639,5178547664,106,4,133,117,250
640,5178547664,106,5,117,130,247
641,5178547664,106,6,113,130,243
642,5178547792,107,1,126,137,263
643,5178547792,107,2,133,110,243
644,5178547792,107,3,136,118,254
645,5178547792,107,4,129,116,245
646,5178547792,107,5,117,130,247
647,5178547792,107,6,117,131,248
648,5178547920,108,1,117,124,241
649,5178547920,108,2,133,110,243
650,5178547920,108,3,136,118,254
651,5178547920,108,4,134,123,257
652,5178547920,108,5,117,130,247
653,5178547920,108,6,121,137,258
654,5178548048,109,1,113,137,250
655,5178548048,109,2,132,112,244
656,5178548048,109,3,140,115,255
